Subset,Model,Type,Training Time (s),Accuracy,Precision,Recall,F1-Score,AUCPR,TP,FP,TN,FN
subset_30%_under,Random Forest,SL,0.20232224464416504,0.9963835539482462,0.998596634058662,0.9963835539482462,0.9972512814948243,0.26974419445708936,86,194,56670,12
subset_30%_under,Multi-layer Perceptron,SL,0.05975174903869629,0.9141708507426003,0.9980985148599156,0.9141708507426003,0.953505465139676,0.01574894077952663,87,4878,51986,11
subset_30%_under,XGBoost,SL,0.02846074104309082,0.9775113233383659,0.9981161516535093,0.9775113233383659,0.9871075235141239,0.052372983833874454,83,1266,55598,15
subset_30%_under,LightGBM,SL,0.014025688171386719,0.9982795547909132,0.996562069513544,0.9982795547909132,0.9974200728063972,0.0017204452090867595,0,0,56864,98
subset_30%_under,CatBoost,SL,0.7909202575683594,0.9955584424704189,0.9985205080417359,0.9955584424704189,0.996750569592833,0.231003901485379,86,241,56623,12
subset_30%_under,Label Propagation,SSL,0.03703045845031738,0.9932059969804431,0.9970534582417205,0.9932059969804431,0.9950511565059899,0.016165380503510685,22,311,56553,76
subset_30%_under,Label Spreading,SSL,0.03903913497924805,0.9932059969804431,0.9970534582417205,0.9932059969804431,0.9950511565059899,0.016165380503510685,22,311,56553,76
subset_30%_under,KNN,SL,0.5553572177886963,0.9991046662687406,0.9992160984445249,0.9991046662687406,0.9991479061911959,0.5909853365373195,83,36,56828,15
subset_30%_under,Isolation Forest,UL,1.11604642868042,0.9716126540500685,0.9973528176431646,0.9716126540500685,0.9839838177923387,0.013241156638394086,44,1563,55301,54
subset_30%_under,Local Outlier Factor,UL,0.07515168190002441,0.9975773322565921,0.9970932620028622,0.9975773322565921,0.997323463721759,0.024468962122259807,12,52,56812,86
subset_30%_under,Histogram - based outlier detection,UL,0.03802919387817383,0.9706997647554511,0.9976352785350285,0.9706997647554511,0.983535186491592,0.02171510401256482,59,1630,55234,39
subset_30%_under,Copula Based Outlier Detector,UL,0.3712279796600342,0.9770548786910572,0.9980949738041726,0.9770548786910572,0.9868687277820257,0.050253390760239144,82,1291,55573,16
subset_30%_under,KNN Tuned,SL,0.5874016284942627,0.9987008883115059,0.9990371709601207,0.9987008883115059,0.9988240947695627,0.5002457778870124,84,60,56804,14
subset_30%_under,Isolation Forest Tuned,UL,1.0396177768707275,0.9631157613847828,0.9976364324833035,0.9631157613847828,0.9795960639837068,0.01797031153834036,60,2063,54801,38
subset_30%_under,Local Outlier Factor Tuned,UL,0.07510948181152344,0.9976475545100242,0.9970795857330691,0.9976475545100242,0.9973463724857348,0.02281515948716604,11,47,56817,87
subset_30%_under,Histogram- based outlier detection Tuned,UL,0.03853869438171387,0.7681612302938802,0.9979016385342945,0.7681612302938802,0.8671965434512005,0.005343582451377115,81,13189,43675,17
subset_30%_under,Random Forest Tuned,SL,0.024524927139282227,0.988185105860047,0.9982449982688405,0.988185105860047,0.9926852541399819,0.09918726902958507,85,660,56204,13
subset_30%_under,Multi-layer Perceptron Tuned,SL,0.2231762409210205,0.771215898318177,0.9980863405736644,0.771215898318177,0.8691292443300112,0.006322317536073756,89,13023,43841,9
subset_30%_under,XGBoost Tuned,SL,0.028415441513061523,0.9775113233383659,0.9981161516535093,0.9775113233383659,0.9871075235141239,0.052372983833874454,83,1266,55598,15
subset_30%_under,LightGBM Tuned,SL,0.012516975402832031,0.9982795547909132,0.996562069513544,0.9982795547909132,0.9974200728063972,0.0017204452090867595,0,0,56864,98
subset_30%_under,CatBoost Tuned,SL,0.0889892578125,0.993732663881184,0.9983707948609574,0.993732663881184,0.995687337612142,0.1688640448659351,84,343,56521,14
subset_30%_under,Label Propagation Tuned,SSL,0.01651144027709961,0.9928724412766405,0.9983956674475104,0.9928724412766405,0.9952198352053022,0.16043106529974127,87,395,56469,11
subset_30%_under,Label Spreading Tuned,SSL,0.016191959381103516,0.9929251079667146,0.9983976226808549,0.9929251079667146,0.9952490352464199,0.16143464330038512,87,392,56472,11
subset_50%_under,Random Forest,SL,0.21172237396240234,0.9947859976826656,0.9984867886174749,0.9947859976826656,0.9963018129777644,0.20725663365686062,87,286,56578,11
subset_50%_under,Multi-layer Perceptron,SL,0.07588648796081543,0.9491941996418665,0.9981455958158664,0.9491941996418665,0.9723166905926252,0.026763849093629173,88,2884,53980,10
subset_50%_under,XGBoost,SL,0.029540538787841797,0.9891331062813805,0.9983389222232973,0.9891331062813805,0.9932014820886514,0.11578966045969993,89,610,56254,9
subset_50%_under,LightGBM,SL,0.018024682998657227,0.8045714686984305,0.9978114695114889,0.8045714686984305,0.8900325817483073,0.005655199285545141,76,11110,45754,22
